step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
240,247296,480,0.017628565812455047,1.0,1.0,,,,,
241,248322,482,0.019013850754193783,1.0,1.0,0.017694452837549998,1.0,1.0,,
242,249348,484,0.017638266475976626,1.0,1.0,,,,,
243,250374,486,0.01775968682967763,1.0,1.0,,,,,
244,251400,488,0.018753203712757235,0.5,0.5,,,,,
245,252442,490,0.01759925056969444,1.0,1.0,,,,,
246,253468,492,0.018011289515815702,1.0,1.0,,,,,
247,254494,494,0.018679874712496162,1.0,1.0,,,,,
248,255536,496,0.01886872087000575,1.0,1.0,,,,,
249,256562,498,0.018924823779992096,1.0,1.0,0.01896173524683652,1.0,1.0,,
250,257588,500,0.01894789473410488,1.0,1.0,,,,,
251,258614,502,0.019040743264898664,1.0,1.0,,,,,
252,259640,504,0.018701043536636274,1.0,1.0,,,,,
253,260666,506,0.018247204537965186,1.0,1.0,,,,,
254,261708,508,0.018200080386244284,1.0,1.0,,,,,
255,262734,510,0.018219058178290722,1.0,1.0,,,,,
256,263760,512,0.018236599478789924,1.0,1.0,,,,,
257,264786,514,0.018386311561480392,1.0,1.0,0.019279954117684635,0.5,0.5,,
258,265812,516,0.018113437662666532,1.0,1.0,,,,,
259,266838,518,0.01790116279103019,1.0,1.0,,,,,
260,267864,520,0.01786153392781998,1.0,1.0,,,,,
261,268890,522,0.017875538194269,1.0,1.0,,,,,
262,269932,524,0.017434698157925803,1.0,1.0,,,,,
263,270974,526,0.017602883376573245,1.0,1.0,,,,,
264,272000,528,0.017732468497865868,1.0,1.0,,,,,
265,273042,530,0.017433783329724173,1.0,1.0,0.017805832722055704,1.0,1.0,,
266,274068,532,0.01768484292756868,1.0,1.0,,,,,
267,275110,534,0.017411477504378763,1.0,1.0,,,,,
268,276152,536,0.017360344718011168,1.0,1.0,,,,,
269,277194,538,0.017337267300817902,1.0,1.0,,,,,
270,278220,540,0.017779216788084,1.0,1.0,,,,,
271,279246,542,0.018906781169751717,0.5,0.5,,,,,
272,280272,544,0.017660651017663814,1.0,1.0,,,,,
273,281298,546,0.018022423329460815,1.0,1.0,0.017969376099621445,1.0,1.0,,
274,282324,548,0.018125200707441676,1.0,1.0,,,,,
275,283350,550,0.01841211536959396,1.0,1.0,,,,,
276,284376,552,0.018285540257351466,1.0,1.0,,,,,
277,285402,554,0.01892355556074307,1.0,1.0,,,,,
278,286428,556,0.0180982808051862,1.0,1.0,,,,,
279,287454,558,0.01801673739363207,1.0,1.0,,,,,
280,288480,560,0.017702230157855214,1.0,1.0,,,,,
281,289506,562,0.017584630859109,1.0,1.0,0.01770003982034874,1.0,1.0,,
282,290548,564,0.017466872060030808,1.0,1.0,,,,,
283,291590,566,0.01755711230829673,1.0,1.0,,,,,
284,292632,568,0.017633395042724275,1.0,1.0,,,,,
285,293658,570,0.017852533265397395,1.0,1.0,,,,,
286,294684,572,0.017643799970295037,1.0,1.0,,,,,
287,295710,574,0.01769618305765814,1.0,1.0,,,,,
288,296736,576,0.017795222588783962,1.0,1.0,,,,,
289,297778,578,0.017266672110614244,1.0,1.0,0.01770781310729817,1.0,1.0,,
290,298804,580,0.017689014879552482,1.0,1.0,,,,,
291,299830,582,0.01767869412894261,1.0,1.0,,,,,
292,300856,584,0.017637847177735592,1.0,1.0,,,,,
293,301882,586,0.01760916412750806,1.0,1.0,,,,,
294,302924,588,0.017383862763020307,1.0,1.0,,,,,
295,303950,590,0.017524530895447536,1.0,1.0,,,,,
296,304976,592,0.018110289122808917,1.0,1.0,,,,,
297,306018,594,0.01735283559733813,1.0,1.0,0.01797122009750761,1.0,1.0,,
298,307044,596,0.01778537954935431,1.0,1.0,,,,,
299,308070,598,0.017946689724826475,1.0,1.0,,,,,
300,309112,600,0.017844294070084962,1.0,1.0,,,,,
301,310138,602,0.018345979458243292,1.0,1.0,,,,,
302,311180,604,0.018130621212464813,1.0,1.0,,,,,
303,312206,606,0.017971731562101183,1.0,1.0,,,,,
304,313232,608,0.018387501726595274,1.0,1.0,,,,,
305,314258,610,0.018096170171611824,1.0,1.0,0.017963233973463603,1.0,1.0,,
306,315300,612,0.017839107917331766,1.0,1.0,,,,,
307,316342,614,0.017770996364178712,1.0,1.0,,,,,
308,317384,616,0.0176616622734963,1.0,1.0,,,,,
309,318426,618,0.017584606231086035,1.0,1.0,,,,,
310,319468,620,0.01749650063340694,1.0,1.0,,,,,
311,320494,622,0.017761311007452513,1.0,1.0,,,,,
312,321520,624,0.01870289344472489,0.5,0.5,,,,,
313,322546,626,0.017724290299367878,1.0,1.0,0.01736512854645262,1.0,1.0,,
314,323572,628,0.017649678259861586,1.0,1.0,,,,,
315,324614,630,0.017356859743364896,1.0,1.0,,,,,
316,325656,632,0.01764319210920579,1.0,1.0,,,,,
317,326698,634,0.017455961799707362,1.0,1.0,,,,,
318,327724,636,0.01767503347562095,1.0,1.0,,,,,
319,328766,638,0.01737625156154581,1.0,1.0,,,,,
320,329792,640,0.02220479127567064,0.5,0.5,,,,,
321,330818,642,0.0178346757423179,1.0,1.0,0.017898363185154642,1.0,1.0,,
322,331860,644,0.017566467438964922,1.0,1.0,,,,,
323,332902,646,0.017689477913775016,1.0,1.0,,,,,
324,333928,648,0.0182156097366561,1.0,1.0,,,,,
325,334970,650,0.017981050312113032,1.0,1.0,,,,,
326,335996,652,0.018212941415405064,1.0,1.0,,,,,
327,337038,654,0.018048365507437734,1.0,1.0,,,,,
328,338064,656,0.01810506937658623,1.0,1.0,,,,,
329,339090,658,0.018107075840404007,1.0,1.0,0.01799537859741658,1.0,1.0,,
330,340116,660,0.018074329438475454,1.0,1.0,,,,,
331,341158,662,0.017673353095754296,1.0,1.0,,,,,
332,342184,664,0.017790718170749457,1.0,1.0,,,,,
333,343210,666,0.018080912679213322,1.0,1.0,,,,,
334,344236,668,0.01790437870262189,1.0,1.0,,,,,
335,345262,670,0.017908786360194648,1.0,1.0,,,,,
336,346288,672,0.01782032642286845,1.0,1.0,,,,,
337,347314,674,0.017793885518645323,1.0,1.0,0.017789501592212965,1.0,1.0,,
338,348340,676,0.017671334115291558,1.0,1.0,,,,,
339,349366,678,0.017745863308526545,1.0,1.0,,,,,
340,350392,680,0.017633093743524363,1.0,1.0,,,,,
341,351418,682,0.01756598049783793,1.0,1.0,,,,,
342,352460,684,0.017336766480834324,1.0,1.0,,,,,
343,353486,686,0.017567224721691282,1.0,1.0,,,,,
344,354512,688,0.017632092415458323,1.0,1.0,,,,,
345,355538,690,0.018743519138803292,0.5,0.5,0.017442151658835513,1.0,1.0,,
346,356564,692,0.01763691099520483,1.0,1.0,,,,,
347,357590,694,0.018005641178534648,1.0,1.0,,,,,
348,358616,696,0.018051748608705943,1.0,1.0,,,,,
349,359642,698,0.01803898044610294,1.0,1.0,,,,,
350,360668,700,0.018183474958407806,1.0,1.0,,,,,
351,361710,702,0.017779941591820607,1.0,1.0,,,,,
352,362736,704,0.01804837993860651,1.0,1.0,,,,,
353,363762,706,0.017912038498699996,1.0,1.0,0.017862864927597644,1.0,1.0,,
354,364788,708,0.017877469879744753,1.0,1.0,,,,,
355,365814,710,0.017792916588395675,1.0,1.0,,,,,
356,366840,712,0.017695964231216606,1.0,1.0,,,,,
